name,type,model,ip,ap_group,ethernet_mac,map_location,radio_mac,building_id,building_name,RoomNum,AP_Model,In_Roomb,In_Hallb,In_OpenArea,On_Celing,On_Wall,On_Desk
bryancenter-0037-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.117,bryancenter-ag,c4:64:13:5b:a9:b0,defaultlocation,c4:0a:cb:df:3c:60,7791.0,BryanStudentCenter,0037,ap3502i,False,True,False,True,False,False
bryancenter-roof-ap1562d-rw-2,AP1562D,AIR-AP1562D-B-K9,10.140.186.168,bryancenter-ag,00:62:ec:4a:81:1a,defaultlocation,2c:d0:2d:11:b7:20,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-loop-ap3602i-rc-2,AP3600I,AIR-CAP3602I-A-K9,10.140.186.122,bryancenter-ag,7c:ad:74:18:93:c7,defaultlocation,50:06:04:c3:fa:a0,7791.0,BryanStudentCenter,loop,ap3602i,True,False,False,True,False,False
bryancenter-204-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.161,bryancenter-ag,64:9e:f3:90:52:f2,defaultlocation,0c:85:25:69:37:b0,7791.0,BryanStudentCenter,204,ap3502i,False,True,False,True,False,False
bryancenter-222-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.81,bryancenter-ag,28:94:0f:26:2d:06,Bryanctr,0c:85:25:de:f8:e0,7791.0,BryanStudentCenter,222,ap3502i,False,True,False,True,False,False
bryancenter-119-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.91,bryancenter-ag,28:94:0f:05:be:7a,Bryanctr,0c:85:25:68:79:f0,7791.0,BryanStudentCenter,119,ap3502i,True,False,False,True,False,False
bryancenter-210-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.145,bryancenter-ag,c4:64:13:38:d7:5e,Bryanctr,d4:a0:2a:10:3d:e0,7791.0,BryanStudentCenter,210,ap3502i,True,False,False,True,False,False
bryancenter-117-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.124,bryancenter-ag,c4:64:13:38:cf:64,BryanCtr,c4:0a:cb:de:ff:30,7791.0,BryanStudentCenter,117,ap3502i,False,True,False,True,False,False
bryancenter-110-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.125,bryancenter-ag,c4:64:13:76:65:17,BryanCtr,c4:0a:cb:eb:2e:a0,7791.0,BryanStudentCenter,110,ap3502i,False,True,False,True,False,False
bryancenter-131-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.87,bryancenter-ag,28:94:0f:58:cc:a6,Bryanctr,0c:85:25:de:d6:80,7791.0,BryanStudentCenter,131,ap3502i,True,False,False,True,False,False
